,date,id,content,username,like_count,retweet_count
0,2022-11-30 02:58:19+00:00,1597787077004955648,Mastodon's Privacy: Who actually holds your data in Mastodon - Blog https://t.co/2GGJtoOFFx #programming #softwareengineering #bigdata #datascience #analytics #ai #python #javascript,GavLaaaaaaaa,0,0
1,2022-11-30 02:58:02+00:00,1597787005173350401,"CursorTek is #selling #bulk #data of 3k plus #categories like:

#Landscaping #Lawyers #Laundry #DayCare #ChildCare #Building #Cleaning #Electricians #CarDealers #SelfStorage #LifeInsurance #AutoParts #HairStylists #salons #barbershop #scraping #python #AI

https://t.co/xO23syY7dI https://t.co/QE1MULbnmC",cursortek,0,0
2,2022-11-30 02:57:24+00:00,1597786847639646209,"There is the path of each of you close to yourself.
Life goes easy once you find it out.
- A Great Mentor's Word
#programming #Coding #CodingMotivation #Java #ReactJS #javascript #DataAnalytics #SQL #Python #Mentalhealth #BrainHealthForFuture #coachingteacher #MentorsWORD #ikigai https://t.co/lFpCub4lyl",theWordofMentor,1,0
3,2022-11-30 02:56:10+00:00,1597786538095550464,"New side project who dis

#Python #javascript #programming #programminghumor #programmingmemes https://t.co/lywtwOy60K",inmicahineworks,3,1
4,2022-11-30 02:56:07+00:00,1597786526238261248,"He deleted some &amp;#8216;unnecessary&amp;#8217; files and completely corrupted his project

#Python #javascript #programming #programminghumor #programmingmemes https://t.co/4pqw9EZSM0",inmicahineworks,2,1
5,2022-11-30 02:55:40+00:00,1597786410538659841,"Hire our writers for the best grades in your papers.
✓nursing....
✓essays
✓Math
✓physics.
✓biology.
✓physics.
✓chemistry...
✓calculus
✓essay pay.
#javascript
#Python
#NodeJS #IoT
#BigData 
#Serverless 
#programming 
#cybersecurity 
#雅思托福 https://t.co/EGhyKy3N7W",vQiRV0QbqGrfI9M,1,1
6,2022-11-30 02:55:31+00:00,1597786373607473153,"[#reInvent] ITW with @jeffboudier product &amp; growth @huggingface who tells us about a new and more ethical #MachineLearning

#AI #ComputerVision #OpenScience #Python #Coding #100DaysOfCode

@Shi4Tech @gvalan @PawlowskiMario @Fabriziobustama @3itcom @LaurentAlaus @tewoz @sallyeaves https://t.co/KyAx1GO8Jb",jblefevre60,3,1
7,2022-11-30 02:54:21+00:00,1597786081822662660,"UK #Crypto Crime Jumps 32%, Data Shows

https://t.co/B8Gkg0n1MW

#zeroday #ZeroTrust #cybercrime #hackers #privacy #APT #bot #CISO #100DaysOfCode #DataPrivacy #Phishing #hacking #CyberAttack #cybersecurity #Security #infosec #OpenSource #Python #javascript #BTC #ETH",bamitav,4,4
8,2022-11-30 02:51:01+00:00,1597785239480311808,"Sensex Log Data Processing (PDF File Processing in Map Reduce) 

https://t.co/q9U06Bh5jj

#MachineLearning #ML #DataScience #BigData #Analytics #AI #IIoT #PyTorch #Python #RStats #TensorFlow #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode #R https://t.co/75z31btXni",bigdata_engnr,0,1
9,2022-11-30 02:51:00+00:00,1597785235487342592,"回帰曲線を改めて学習
以前は機械学習を含めていませんでしたが今回は機械学習を行ったうえでの回帰曲線作成でした
前よりたくさんの手順を踏んだうえで作っています
右の図は相関が強いのでだいぶ妥当性がある線ですが右の図は関係性が弱く無理のある線になりました
#Python 
#プログラミング https://t.co/BXIBMM8vkb",k63635472,1,0
